A_node_name	B_node_name	Int_type_1	Source_db
uniprot:P16220	uniprot:P10415	2247(transcriptional regulation)	signor	2
uniprot:P16220	uniprot:P10415	2238(up-regulates quantity by expression)	signor	2
uniprot:P37173	uniprot:P37173	2236(up-regulates activity)	signor	2
uniprot:P36894	uniprot:Q15797	0217(phosphorylation reaction)	signor	2
uniprot:P36894	uniprot:Q15797	2235(up-regulates)	signor	2
uniprot:P56704	uniprot:O75581	0462(bind)	signor	2
uniprot:P56704	uniprot:O75581	2236(up-regulates activity)	signor	2
uniprot:P23443	uniprot:P42345	0217(phosphorylation reaction)	signor	2
uniprot:P23443	uniprot:P42345	2236(up-regulates activity)	signor	2
uniprot:P01116	uniprot:P15056	2235(up-regulates)	signor	2
uniprot:P37231	uniprot:P60484	unknown	signor	2
uniprot:P37231	uniprot:P60484	2241(down-regulates activity)	signor	2
uniprot:Q14164	uniprot:P25963	0217(phosphorylation reaction)	signor	2
uniprot:Q14164	uniprot:P25963	2244(down-regulates quantity by destabilization)	signor	2
uniprot:P48023	uniprot:P25445	0462(bind)	signor	2
uniprot:P48023	uniprot:P25445	2236(up-regulates activity)	signor	2
uniprot:P46531	uniprot:P46531	2247(transcriptional regulation)	signor	2
uniprot:P46531	uniprot:P46531	2238(up-regulates quantity by expression)	signor	2
uniprot:P56705	uniprot:O75581	0462(bind)	signor	2
uniprot:P56705	uniprot:O75581	2236(up-regulates activity)	signor	2
uniprot:P35222	uniprot:P01106	2247(transcriptional regulation)	signor	2
uniprot:P35222	uniprot:P01106	2238(up-regulates quantity by expression)	signor	2
uniprot:P61088	uniprot:Q12933	0220(ubiquitination reaction)	signor	2
uniprot:P61088	uniprot:Q12933	2236(up-regulates activity)	signor	2
uniprot:P00533	uniprot:P42224	0217(phosphorylation reaction)	signor	2
uniprot:P00533	uniprot:P42224	2235(up-regulates)	signor	2
uniprot:O43521	uniprot:Q07817	2241(down-regulates activity)	signor	2
uniprot:P08151	uniprot:Q13635	2247(transcriptional regulation)	signor	2
uniprot:P08151	uniprot:Q13635	2238(up-regulates quantity by expression)	signor	2
uniprot:Q9UHD2	uniprot:P25963	0217(phosphorylation reaction)	signor	2
uniprot:Q9UHD2	uniprot:P25963	2244(down-regulates quantity by destabilization)	signor	2
uniprot:P84022	uniprot:Q13485	0462(bind)	signor	2
uniprot:P84022	uniprot:Q13485	2236(up-regulates activity)	signor	2
uniprot:O15105	uniprot:Q15797	unknown	signor	2
uniprot:O15105	uniprot:Q15797	2240(down-regulates)	signor	2
uniprot:Q9UNE7	uniprot:Q15797	0220(ubiquitination reaction)	signor	2
uniprot:Q9UNE7	uniprot:Q15797	2240(down-regulates)	signor	2
uniprot:Q13153	uniprot:Q13153	0462(bind)	signor	2
